model,dataset,accuracy,elapsed_time,num_epochs_to_converge
GS V1 (Mean),cora,0.8755391250770179,223.02264753977457,64.0
GS V1 (Sum),cora,0.8613678373382624,221.90222080548605,73.66666666666667
GS V1 (Max),cora,0.8410351201478742,240.18051330248514,42.333333333333336
GS V2 (Mean),cora,0.8471965495995071,222.99318154652914,154.66666666666666
GS V2 (Sum),cora,0.8453481207640173,225.04735445976257,114.0
GS V2 (Max),cora,0.8311768330252619,243.34752082824707,46.333333333333336
GS V3 (Mean),cora,0.8715341959334564,0.5967549324035645,61.3
GS V3 (Sum),cora,0.86728280961183,0.5709095954895019,53.4
GS V3 (Max),cora,0.8635859519408504,0.7434940814971924,52.8
GS V4 (Mean),cora,0.8456561922365988,0.5887854337692261,129.3
GS V4 (Sum),cora,0.8622920517560075,0.5691744327545166,57.3
GS V4 (Max),cora,0.8611829944547136,0.7579789161682129,68.7
GS V3 (Mean),pubmed,0.8707075830585849,0.9972128391265869,25.7
GS V3 (Sum),pubmed,0.8804209992391581,0.8911074876785279,11.9
GS V3 (Max),pubmed,0.8736748668526502,1.3082159042358399,17.9
GS V4 (Mean),pubmed,0.8480852143038294,0.8954670906066895,42.5
GS V4 (Sum),pubmed,0.8595992898808014,0.8434972524642944,13.2
GS V4 (Max),pubmed,0.8576211006847577,1.3545435905456542,21.4
