model,dataset,accuracy,elapsed_time,num_epochs_to_converge
GCN V1 (B),cora,0.8663585951940851,1.0837977409362793,127.3
GCN V1,cora,0.8615526802218115,1.0596330881118774,90.6
GCN V2 (B),cora,0.9060998151571166,1.2288209199905396,51.6
GCN V2,cora,0.8859519408502772,1.1659987211227416,47.8
GS V1 (Mean),cora,0.873690696241528,363.4705753326416,59.666666666666664
GS V1 (Sum),cora,0.8638324091189156,339.4518137772878,103.33333333333333
GS V1 (Max),cora,0.8718422674060382,378.46777097384137,71.33333333333333
GS V2 (Mean),cora,0.8675292667898953,368.12304615974426,137.0
GS V2 (Sum),cora,0.8558225508317929,359.3065106868744,25.333333333333332
GS V2 (Max),cora,0.8447319778188539,372.8020080725352,48.333333333333336
GS V3 (Mean),cora,0.890018484288355,1.7463870286941527,65.5
GS V3 (Sum),cora,0.8878003696857671,1.702970552444458,58.6
GS V3 (Max),cora,0.8935304990757856,2.321529197692871,40.6
GS V4 (Mean),cora,0.867652495378928,1.8492332458496095,142.9
GS V4 (Sum),cora,0.879112754158965,1.8483648777008057,32.2
GS V4 (Max),cora,0.8676524953789281,2.6319364070892335,71.7
GS V3 (Mean),pubmed,0.8701749936596499,2.6026328563690186,25.3
GS V3 (Sum),pubmed,0.8757037788485924,2.5442636489868162,9.1
GS V3 (Meax),pubmed,0.8683743342632513,4.232475209236145,19.6
GS V4 (Mean),pubmed,0.854349480091301,3.137822985649109,52.2
GS V4 (Sum),pubmed,0.8663961450672077,3.309836506843567,11.4
GS V4 (Max),pubmed,0.8585341110829319,6.033307218551636,21.1
GCN V1 (B),pubmed,0.8739792036520416,1.6596803426742555,39.2
GCN V1,pubmed,0.8741820948516359,1.5117146730422975,21.0
GCN V2 (B),pubmed,0.8872432158255137,1.643343210220337,22.4
GCN V2,pubmed,0.888562008622876,1.7095587730407715,19.1
