model,dataset,accuracy,elapsed_time,num_epochs_to_converge
gcnv1-bias,pubmed,0.8655338574689322,1.3409714937210082,38.8
gcnv1-no-bias,pubmed,0.8648998224702004,1.2170700073242187,19.2
gcnv2-bias,pubmed,0.885442556429115,1.3496870517730712,25.1
gcnv2-no-bias,pubmed,0.885899061628202,1.3587299585342407,17.3
graphSAGEv1-mean,pubmed,0.8696424042607153,2286.041545470556,31.0
graphSAGEv3-mean,pubmed,0.8632259700735482,2.606535315513611,27.4
graphSAGEv3-sum,pubmed,0.8715445092569111,3.1791651248931885,16.8
graphSAGEv3-max,pubmed,0.8618818158762365,6.846905016899109,18.5
graphSAGEv4-mean,pubmed,0.8428607659142784,4.6304768323898315,48.3
graphSAGEv4-sum,pubmed,0.8583058584833883,4.921397709846497,14.6
graphSAGEv4-max,pubmed,0.8554653816890692,12.1174081325531,19.0
